Type,Blue,Yellow,Group,Total
M,4,2,1,19
M,3,1,2,20
PB,3,1,3,17
P,0,2,4,10
M,0,1,5,8
P,1,1,6,15
M,0,1,7,7
P,0,1,8,6
P,1,2,9,12
P,3,4,10,19
PB,0,2,11,9
M,3,2,12,7
P,5,4,13,21
M,1,0,14,7
P,3,2,15,8
P,1,0,16,8
M,3,2,17,15
PB,2,0,18,11
M,2,0,19,17
PB,3,1,20,10
P,3,1,21,7
PB,3,1,22,11
M,1,5,23,19
M,4,2,24,19
PB,3,1,25,9
P,1,2,26,7
P,1,1,27,8
M,3,1,28,17
M,5,6,29,21
P,2,4,30,7
M,8,1,31,18
PB,1,2,32,11
PB,5,2,33,12
M,2,3,34,19
M,3,6,1,19
P,3,1,2,7
P,2,1,3,11
PB,3,1,4,18
M,3,5,5,21
PB,1,2,6,11
M,1,3,7,20
M,6,2,8,19
PB,1,3,9,10
M,5,1,10,20
M,2,5,11,18
PB,1,4,12,10
PB,5,2,13,12
M,6,1,14,18
M,7,3,15,20
M,5,3,16,17
M,3,2,17,17
PB,2,3,18,11
PB,2,2,19,12
PB,1,3,20,13
PB,1,3,21,9
P,2,0,22,8
M,5,4,23,20
PB,1,3,24,11
M,3,0,25,17
PB,3,4,26,12
PB,0,3,27,9
PB,0,2,28,12
M,4,0,29,19
M,4,4,30,18
M,7,1,31,20
PB,4,0,32,12
M,3,3,33,18
P,0,3,34,7
PB,0,2,1,11
P,2,2,2,8
PB,4,2,3,11
M,4,2,4,17
M,0,4,5,16
M,4,0,6,18
PB,1,5,7,11
P,1,3,8,8
M,1,0,9,18
M,1,2,10,16
PB,2,1,11,11
PB,1,2,12,11
M,0,6,13,18
PB,1,1,14,9
M,6,2,15,18
PB,1,3,16,10
P,2,1,17,8
M,3,3,18,18
M,3,2,19,17
M,3,2,20,18
PB,2,0,21,8
M,5,1,22,19
M,7,2,23,17
M,6,1,24,18
M,2,1,25,17
M,6,2,26,17
M,1,1,27,17
PB,3,3,28,10
M,6,2,29,18
P,2,1,30,8
M,5,3,31,18
M,2,2,32,18
M,6,0,33,17
M,5,1,34,17
M,4,2,1,16
PB,2,2,2,10
PB,3,2,3,11
P,2,0,4,7
P,2,0,5,7
P,1,2,6,8
PB,1,2,7,10
M,3,1,8,16
PB,3,1,9,8
M,2,2,10,17
PB,3,2,11,11
M,5,4,12,17
P,1,0,13,8
M,4,4,14,17
PB,2,3,15,10
M,5,2,16,20
M,1,3,17,17
PB,4,1,18,10
PB,0,1,19,12
M,2,2,20,17
M,3,3,21,17
P,1,1,22,8
M,6,1,23,16
M,2,4,24,18
PB,3,2,25,11
M,5,4,26,17
M,4,1,27,18
PB,2,1,28,10
M,4,3,29,18
M,2,5,30,19
M,3,4,31,12
PB,3,2,32,10
PB,2,0,33,11
PB,1,4,34,11
P,0,1,1,8
P,3,0,2,8
PB,1,2,3,10
P,3,1,4,8
P,1,0,5,6
M,4,4,6,18
P,1,0,7,7
P,4,0,8,7
M,6,1,9,18
M,4,1,10,17
P,0,0,11,7
P,1,3,12,11
P,2,1,13,7
P,3,0,14,8
M,4,4,15,18
M,4,5,16,20
M,5,5,17,20
M,6,1,18,19
P,2,1,19,8
P,1,1,20,6
M,3,3,21,18
M,3,4,22,18
M,3,2,23,20
P,0,3,24,9
M,3,0,25,17
P,1,2,26,8
M,4,1,27,18
PB,1,2,28,13
M,1,3,29,20
M,6,3,30,16
P,3,2,31,8
M,2,1,32,8
M,5,2,33,18
M,4,4,34,17